start_time,end_time,transcription
200.5,206.2,"nej precis för då har ju hon inte möjlighet att ringa om det händer något så då har hon istället liksom"
207.6,214.4,"jag vet inte det känns att det är så himla lätt att man bryter ett förtroende där om man ska hålla på att övervaka sina barn och jag vet inte"
226.9,227.8,ja
239,239.4,ja
245.2,245.5,ja
247.1,253,"men precis så så nej men så var det ju till mig också jag kunde alltid jag kunde alltid höra av mig"
253.5,264.5,"och jag var väl inte så att jag drog iväg särskilt mycket utan att de visste om den ändå men ja samtidigt det där det där är ju någonting som man liksom i en familjedynamik kanske skulle behöva utveckla och jag jag tänkte kanste att det här är"
265.4,266.6,"det här kan vara"
268.2,277.8,"och inte så och det är ju också lite så att det snackades skit om min egen familj jag förstår verkligen varför man har det här och jag förstår att det finns det finns en jättebra poäng medan istället om det händer något"
279.4,280,eh
285.8,292.9,"ja men precis så att då tycker jag att det finns absolut en poäng med det men samtidigt så kan man ju använda det som en det utav ett liksom"
293.5,304.7,"ett sätt att vara förälder som blir ja men ganska att man undviker ganska mycket ansvar jag tänker att man har då från början det här med men ja små barn som sitter och håller i ipads hela tiden och då har liksom"
305.1,308.2,"vi börjar liksom redan där med att vi liksom ja men vi orkar inte"
308.6,313.4,"jag har uppenbarligen inga egna barn så att jag jag ska vara försiktig när jag säger"
313.8,315.9,"men men att man liksom på något sätt"
317.6,324.5,"inte väljer att engagera sig med barnen när de är små och inte ta med tiden som man kanske skulle optimalt kunna lägga på det"
324.7,336.2,"och sen så går det över i ett system också då där vi inte jobbar att utveckla någon typ en hälsosam kommunikation och gränssättande utan istället förlitar oss på någon typ utav digitalt övervakningssystem"
336.5,337.7,"alltså har vi oursourcat"
338,344.4,"vad har vi inte outsourcat till liksom mobiler eller ipads det blir lite jobbigt tycker jag"
356.6,357.9,"jag tycker det"
358.4,362.4,"faktiskt och det är ett sätt att undvika att ta ansvar"
364.2,365.6,"och eh nu har jag"
368.2,373.6,"nu har jag liksom inte ens rört den andra biten där barn på något sätt skulle kunna övervaka deras föräldrar gör"
374.6,375.3,eh
379.9,381.1,"ja men lite så"
381.5,385.7,"ja men i sådana fall och jag tänker att där finns det väl ändå mer"
386.5,390.6,"nästan alltså inte för att jag förstår vad barnen ska med det till nödvändigtvis"
391.1,399.7,"men föräldrarna har ju ändå på något sätt valt att skaffa barn så att vara tillgänglig för sina barn i kanske inte nödvändigtvis någonting som alltså"
399.9,403.2,"jag kan ändå förstå det finns det en poäng med på ett sätt"
404.3,405,eh
405.8,406.9,"om de är"
407.3,414.5,"ja men då kan man ju kolla då alltså det här om man inte ringer och frågar 20 gånger om man vet att mamma är i affären men det kanske finns en poäng med det också eventuellt"
416,417,eh
417.3,419,"möjligtivs sen så"
419.5,420.3,så
420.5,425.4,"tycker jag väl inte att det här är en bra funktion heller för jag tycker fortfarande att vi kanske borde prata med varandra istället"
426.4,427.1,eh
431.9,437.4,"ja men visst då får de ja men visst då får de ta och säga vad de är någonstans och vad de gör"
438.9,440,eh
443,448.6,"jag vet inte det är jag är också såhär ja men säkert såhär beroende utav"
449.5,450.4,"ja men"
450.8,452.8,"elektronik eh så att"
454.12,463.9,"man har liksom någon typ utav ja men såhär mobilberoende men jag tycker samtidigt att det är så deppigt att det är så det är idag och jag skulle vilja att det inte behövde vara så här för att vi ska inte behöva"
465.8,470.3,"vi ska inte behöva ha trackers på varandra för att få veta var var folk är"
472.4,473.53,"om om"
484.9,488.1,"jo och det det har vi alltid varit"
489,494.8,"och det är ju någonting som man behöver lära sig hantera också att förr eller senare så behöver du också släppa ut barnen i den här världen"
496.4,505.3,"du kommer inte ha 100 % koll på dem förevigt och det ser man ju också på internet liksom att det finns ju många som fortsätter tracka sina barnen efter att de är vuxna"
507,516.7,"alltså nu tänker jag internetforum här så det är ju kanske inte typ fallet men du vet där det är såhär ja men jag är 22 och min mamma vill inte att jag är hemma hos min pojkvän liksom alltså"
517.5,526.1,"eh så att jag menar det går ju då har man ju kanske inte lärt sig släppa taget överhuvudtaget så det kanske är bra för föräldrar också att öva sig mentalt på liksom att"
527.5,530.5,"förr eller senare så måste man ju låta dem röra sig"
531.3,531.8,"i världen"
532,534,"det det är liksom oundvikligt"
544.2,544.9,"nej men visst"
547.8,548.7,"ja men precis"
552.3,559.8,"ja men exakt det tycker jag är det är ju väldigt vettigt för att om jag vill dela min position då kan jag göra det och säga såhär ja men du kan se var jag är någonstans"
560.1,561.4,"ikväll det är ju helt"
567.7,568.3,nej
568.9,569.5,nej
576.8,577.6,nej
581.9,582.75,nej
583.5,588.3,"det tror jag inte att det är eller alltså jag tror absolut att folk tycker att världen är farligare"
589.1,590.8,"sen tror jag inte att den är det"
591.2,598,"alltså den är kanske möjligtvis är farligare nu än vad den var för tio år sedan jag tror inte att den är farligare än vad den var för 50 år sedan"
