start_time,end_time,transcription
450.3,451,nej
453.6,454.3,då
455.5,457.3,"men de hade nog absolut gärna haft"
457.6,459.1,"övervakat vart jag var"
459.5,460.5,"när jag inte svarade"
462.5,465.4,"för de hade nog eh uppskattat det här väldigt mycket"
473.2,476.3,"ja men det tror jag det känns som att vi är så pass beroende"
477.1,479.8,"nästan oavsett ålder i alla fall ungdomar och"
480.5,480.9,"ja men"
481.6,484.4,"mellan tjugo och fyrtio är väldigt beroende av sina telefoner"
485.3,486.2,"jag tror att ingen"
487,489.5,"hade velat lämna den hemma ehm"
493.2,495.2,"men ja samtidigt kanske det också ger"
495.9,498.7,"att om man som barn vet att man är övervakad att"
499,500,"man kanske"
500.4,503.6,"blir mer öppen vart man är någonstans vad man gör att man"
504,507,"vet att ja men jag kan ändå inte dölja det så varför ska jag"
508.4,511.4,"säga att jag är i borås när jag gör ett prov liksom"
513.2,514,"men ja"
518.9,520,"nej men jag tänker mest att"
520.2,521.6,"ja barn skulle vilja"
522.5,525.2,"se vart föräldrarna är men det kanske är just"
526,529.3,"i fall det skulle hända någonting eller om de skulle tappa telefonen eller"
530.4,531.2,"om eh"
532.1,533.3,"ja man misstänker att"
533.7,534.8,"ens förälder är otrogen"
548.6,549.2,ja
549.8,553.6,"hålla koll på dem det är som när man letar efter vart eh vart bussen är"
554.4,558.6,"man kan se det på ja men google maps så ser man exakt var var bussen är det nästan"
558.8,560.7,"som ja men mamma är där i bilen vad bra"
561.3,562.3,"två minuter"
564.9,565.8,"men ja"
570.3,571.8,"som sagt det är nog viktigt och"
572.1,572.8,och
573.5,574.8,"att båda ger sitt"
575.1,576.1,samtycke
577.8,578.8,"på ett eller annat sätt"
591.7,592.4,mhm
593.8,594.4,ja
595.5,596.4,"nej verkligen"
597.63,598.18,det
